geo,TIME_PERIOD,siec,source,nrg_bal,unit,OBS_VALUE
DE,2015,C0000X0350-0370,coal,GEP,GWH,272200.0
DE,2016,C0000X0350-0370,coal,GEP,GWH,261745.0
DE,2017,C0000X0350-0370,coal,GEP,GWH,241254.0
DE,2018,C0000X0350-0370,coal,GEP,GWH,228156.0
DE,2019,C0000X0350-0370,coal,GEP,GWH,171450.0
DE,2020,C0000X0350-0370,coal,GEP,GWH,134595.0
DE,2021,C0000X0350-0370,coal,GEP,GWH,164651.0
DE,2022,C0000X0350-0370,coal,GEP,GWH,179948.015
DE,2023,C0000X0350-0370,coal,GEP,GWH,124786.0
ES,2015,C0000X0350-0370,coal,GEP,GWH,51366.0
ES,2016,C0000X0350-0370,coal,GEP,GWH,36434.0
ES,2017,C0000X0350-0370,coal,GEP,GWH,45127.0
ES,2018,C0000X0350-0370,coal,GEP,GWH,37341.0
ES,2019,C0000X0350-0370,coal,GEP,GWH,12859.0
ES,2020,C0000X0350-0370,coal,GEP,GWH,5522.0
ES,2021,C0000X0350-0370,coal,GEP,GWH,4858.0
ES,2022,C0000X0350-0370,coal,GEP,GWH,7860.0
ES,2023,C0000X0350-0370,coal,GEP,GWH,3623.0
FR,2015,C0000X0350-0370,coal,GEP,GWH,11894.45
FR,2016,C0000X0350-0370,coal,GEP,GWH,10225.74
FR,2017,C0000X0350-0370,coal,GEP,GWH,12813.431
FR,2018,C0000X0350-0370,coal,GEP,GWH,8309.496
FR,2019,C0000X0350-0370,coal,GEP,GWH,3637.305
FR,2020,C0000X0350-0370,coal,GEP,GWH,3086.356
FR,2021,C0000X0350-0370,coal,GEP,GWH,5442.813
FR,2022,C0000X0350-0370,coal,GEP,GWH,4163.351
FR,2023,C0000X0350-0370,coal,GEP,GWH,1610.456
IT,2015,C0000X0350-0370,coal,GEP,GWH,43201.0
IT,2016,C0000X0350-0370,coal,GEP,GWH,35607.0
IT,2017,C0000X0350-0370,coal,GEP,GWH,32627.426
IT,2018,C0000X0350-0370,coal,GEP,GWH,28469.868
IT,2019,C0000X0350-0370,coal,GEP,GWH,18839.449
IT,2020,C0000X0350-0370,coal,GEP,GWH,13379.486
IT,2021,C0000X0350-0370,coal,GEP,GWH,14021.919
IT,2022,C0000X0350-0370,coal,GEP,GWH,22606.652
IT,2023,C0000X0350-0370,coal,GEP,GWH,13219.885
NL,2015,C0000X0350-0370,coal,GEP,GWH,39390.589
NL,2016,C0000X0350-0370,coal,GEP,GWH,36816.731
NL,2017,C0000X0350-0370,coal,GEP,GWH,31378.986
NL,2018,C0000X0350-0370,coal,GEP,GWH,27577.792
NL,2019,C0000X0350-0370,coal,GEP,GWH,17693.631
NL,2020,C0000X0350-0370,coal,GEP,GWH,7617.252
NL,2021,C0000X0350-0370,coal,GEP,GWH,14599.849
NL,2022,C0000X0350-0370,coal,GEP,GWH,14802.201
NL,2023,C0000X0350-0370,coal,GEP,GWH,8711.754
PL,2015,C0000X0350-0370,coal,GEP,GWH,130519.0
PL,2016,C0000X0350-0370,coal,GEP,GWH,130322.0
PL,2017,C0000X0350-0370,coal,GEP,GWH,131158.527
PL,2018,C0000X0350-0370,coal,GEP,GWH,130562.95
PL,2019,C0000X0350-0370,coal,GEP,GWH,118143.544
PL,2020,C0000X0350-0370,coal,GEP,GWH,107397.738
PL,2021,C0000X0350-0370,coal,GEP,GWH,127571.783
PL,2022,C0000X0350-0370,coal,GEP,GWH,124727.237
PL,2023,C0000X0350-0370,coal,GEP,GWH,98848.55
TR,2015,C0000X0350-0370,coal,GEP,GWH,74175.0
TR,2016,C0000X0350-0370,coal,GEP,GWH,90388.0
TR,2017,C0000X0350-0370,coal,GEP,GWH,95384.927
TR,2018,C0000X0350-0370,coal,GEP,GWH,111355.491
TR,2019,C0000X0350-0370,coal,GEP,GWH,111175.907
TR,2020,C0000X0350-0370,coal,GEP,GWH,104017.685
TR,2021,C0000X0350-0370,coal,GEP,GWH,101610.604
TR,2022,C0000X0350-0370,coal,GEP,GWH,111269.025
TR,2023,C0000X0350-0370,coal,GEP,GWH,117475.17
UK,2015,C0000X0350-0370,coal,GEP,GWH,75878.228
UK,2016,C0000X0350-0370,coal,GEP,GWH,30668.599
UK,2017,C0000X0350-0370,coal,GEP,GWH,22530.445
UK,2018,C0000X0350-0370,coal,GEP,GWH,16831.404
UK,2019,C0000X0350-0370,coal,GEP,GWH,6891.095
DE,2015,C0000X0350-0370,coal,GEP,KTOE,23404.987
DE,2016,C0000X0350-0370,coal,GEP,KTOE,22506.019
DE,2017,C0000X0350-0370,coal,GEP,KTOE,20744.11
DE,2018,C0000X0350-0370,coal,GEP,KTOE,19617.885
DE,2019,C0000X0350-0370,coal,GEP,KTOE,14742.046
DE,2020,C0000X0350-0370,coal,GEP,KTOE,11573.087
DE,2021,C0000X0350-0370,coal,GEP,KTOE,14157.438
DE,2022,C0000X0350-0370,coal,GEP,KTOE,15472.744
DE,2023,C0000X0350-0370,coal,GEP,KTOE,10729.665
ES,2015,C0000X0350-0370,coal,GEP,KTOE,4416.681
ES,2016,C0000X0350-0370,coal,GEP,KTOE,3132.76
ES,2017,C0000X0350-0370,coal,GEP,KTOE,3880.224
ES,2018,C0000X0350-0370,coal,GEP,KTOE,3210.748
ES,2019,C0000X0350-0370,coal,GEP,KTOE,1105.675
ES,2020,C0000X0350-0370,coal,GEP,KTOE,474.807
ES,2021,C0000X0350-0370,coal,GEP,KTOE,417.713
ES,2022,C0000X0350-0370,coal,GEP,KTOE,675.838
ES,2023,C0000X0350-0370,coal,GEP,KTOE,311.522
FR,2015,C0000X0350-0370,coal,GEP,KTOE,1022.739
FR,2016,C0000X0350-0370,coal,GEP,KTOE,879.255
FR,2017,C0000X0350-0370,coal,GEP,KTOE,1101.757
FR,2018,C0000X0350-0370,coal,GEP,KTOE,714.488
FR,2019,C0000X0350-0370,coal,GEP,KTOE,312.752
FR,2020,C0000X0350-0370,coal,GEP,KTOE,265.379
FR,2021,C0000X0350-0370,coal,GEP,KTOE,467.998
FR,2022,C0000X0350-0370,coal,GEP,KTOE,357.984
FR,2023,C0000X0350-0370,coal,GEP,KTOE,138.474
IT,2015,C0000X0350-0370,coal,GEP,KTOE,3714.617
IT,2016,C0000X0350-0370,coal,GEP,KTOE,3061.651
IT,2017,C0000X0350-0370,coal,GEP,KTOE,2805.454
IT,2018,C0000X0350-0370,coal,GEP,KTOE,2447.968
IT,2019,C0000X0350-0370,coal,GEP,KTOE,1619.901
IT,2020,C0000X0350-0370,coal,GEP,KTOE,1150.429
IT,2021,C0000X0350-0370,coal,GEP,KTOE,1205.668
IT,2022,C0000X0350-0370,coal,GEP,KTOE,1943.822
IT,2023,C0000X0350-0370,coal,GEP,KTOE,1136.706
NL,2015,C0000X0350-0370,coal,GEP,KTOE,3386.981
NL,2016,C0000X0350-0370,coal,GEP,KTOE,3165.669
NL,2017,C0000X0350-0370,coal,GEP,KTOE,2698.107
NL,2018,C0000X0350-0370,coal,GEP,KTOE,2371.263
NL,2019,C0000X0350-0370,coal,GEP,KTOE,1521.378
NL,2020,C0000X0350-0370,coal,GEP,KTOE,654.966
NL,2021,C0000X0350-0370,coal,GEP,KTOE,1255.361
NL,2022,C0000X0350-0370,coal,GEP,KTOE,1272.76
NL,2023,C0000X0350-0370,coal,GEP,KTOE,749.076
PL,2015,C0000X0350-0370,coal,GEP,KTOE,11222.614
PL,2016,C0000X0350-0370,coal,GEP,KTOE,11205.675
PL,2017,C0000X0350-0370,coal,GEP,KTOE,11277.603
PL,2018,C0000X0350-0370,coal,GEP,KTOE,11226.393
PL,2019,C0000X0350-0370,coal,GEP,KTOE,10158.516
PL,2020,C0000X0350-0370,coal,GEP,KTOE,9234.543
PL,2021,C0000X0350-0370,coal,GEP,KTOE,10969.199
PL,2022,C0000X0350-0370,coal,GEP,KTOE,10724.612
PL,2023,C0000X0350-0370,coal,GEP,KTOE,8499.445
TR,2015,C0000X0350-0370,coal,GEP,KTOE,6377.902
TR,2016,C0000X0350-0370,coal,GEP,KTOE,7771.969
TR,2017,C0000X0350-0370,coal,GEP,KTOE,8201.627
TR,2018,C0000X0350-0370,coal,GEP,KTOE,9574.849
TR,2019,C0000X0350-0370,coal,GEP,KTOE,9559.407
TR,2020,C0000X0350-0370,coal,GEP,KTOE,8943.911
TR,2021,C0000X0350-0370,coal,GEP,KTOE,8736.939
TR,2022,C0000X0350-0370,coal,GEP,KTOE,9567.414
TR,2023,C0000X0350-0370,coal,GEP,KTOE,10101.046
UK,2015,C0000X0350-0370,coal,GEP,KTOE,6524.353
UK,2016,C0000X0350-0370,coal,GEP,KTOE,2637.025
UK,2017,C0000X0350-0370,coal,GEP,KTOE,1937.27
UK,2018,C0000X0350-0370,coal,GEP,KTOE,1447.24
UK,2019,C0000X0350-0370,coal,GEP,KTOE,592.528
DE,2015,C0000X0350-0370,coal,GEP,TJ,979920.0
DE,2016,C0000X0350-0370,coal,GEP,TJ,942282.0
DE,2017,C0000X0350-0370,coal,GEP,TJ,868514.4
DE,2018,C0000X0350-0370,coal,GEP,TJ,821361.6
DE,2019,C0000X0350-0370,coal,GEP,TJ,617220.0
DE,2020,C0000X0350-0370,coal,GEP,TJ,484542.0
DE,2021,C0000X0350-0370,coal,GEP,TJ,592743.6
DE,2022,C0000X0350-0370,coal,GEP,TJ,647812.854
DE,2023,C0000X0350-0370,coal,GEP,TJ,449229.6
ES,2015,C0000X0350-0370,coal,GEP,TJ,184917.6
ES,2016,C0000X0350-0370,coal,GEP,TJ,131162.4
ES,2017,C0000X0350-0370,coal,GEP,TJ,162457.2
ES,2018,C0000X0350-0370,coal,GEP,TJ,134427.6
ES,2019,C0000X0350-0370,coal,GEP,TJ,46292.4
ES,2020,C0000X0350-0370,coal,GEP,TJ,19879.2
ES,2021,C0000X0350-0370,coal,GEP,TJ,17488.8
ES,2022,C0000X0350-0370,coal,GEP,TJ,28296.0
ES,2023,C0000X0350-0370,coal,GEP,TJ,13042.8
FR,2015,C0000X0350-0370,coal,GEP,TJ,42820.02
FR,2016,C0000X0350-0370,coal,GEP,TJ,36812.664
FR,2017,C0000X0350-0370,coal,GEP,TJ,46128.352
FR,2018,C0000X0350-0370,coal,GEP,TJ,29914.186
